Product,Qty
MAGGI HOT&SWEET TCS BOTTLE 500GM 1208.00,100
NESCAFE SUNRICE JAR 90GM 3202.00,299
KITKAT FAMILY PACK 4X2 72GM15.00,44
MAGGI 2 MIN FAM PACK 560 GM(120)12.00,106
NESCAFE ICED LATTE 170ML,12
POLO MINT ROLL(23X15G)5,72
KITKAT 2F MINI 18(42X13.2GM)10210.00,8
MAGGI MAS NDLS 280GM 58,24
MILKY BAR MOULD (24X22.5GM)24.00,17
MUNCH KING SIZE 17.4GM 10,210
MUNCH MAHA27(32X8.7G) 5,864
MAGGI ATTA MAS 24X290GM 1086.00,90
MAGGI PAZZIA MUSHROOM96X68.5G(25R)6.00,25
MUNCH MAX CRUNCHIES 45GM 40.0014.00,35
NAMBISAN S GHEE 500ML,3
KPL COCONUT OIL 1LT PCH,40
KERALAGOLDCOCONUT OIL500ML60.00,127
GOLDWINNER SF OIL 500ML,100
IDHAYAM SESAME OIL 500ML BOTTLE5.00,218
GOLDWINNER SF OIL 1L,100
NESTLE MILKMAID MINI 210GM 8512.00,77
LUX ADV BRIG GLOW JASMINE VITAMIN +E 100GM 42144.00,32
PONKATHIR EASY VATTAYAPPAM PODI 500GM6.00,44
EAGER SOYA 200GM SOUC,12
EAGER MASALA MIX(40GM),50
AJMI RICE POEDER 5KG,5
ELITE BANSI RAVA 500GM RS41.0011.00,34
SF DREM CREM STRRWBERRY VANI 90GM29.00,16
SF DARK FANTASY BOURBON 65.1G 10120.00,9
SF MOMS MAGIC SHINING BUTTER COOKIE 44GM1096.00,8
SF MOMS MAGIC SHINING BUTTER COOKIE 128GM 3530.00,27
SF GLUCOSE BISCUT 250 GM,36
DAI MILK CHOCOLATE BIG FAMILY123G 9810.00,87
SILK BUBBLY BUBBLE 46GM 100(20N)5.00,86
SILK FRUIT&NUT 51GM RS110.00 5.00,86
SILK HAZELNUT 54G 100,3
SILK MOUSSE SMALL 48.5GM RS1005.00,86
SILK OREO 58.5GM 100.00,5
SILK CHOCOLATE PLAN 55GM RS 1005.00,78
SILK ROAST ALMOND 52GM 100,5
SILK FRUIT&NUT 51GM RS110.00 5.00,86
FULFUL CHICKEN 65MASALA 70GM3.00,35
MASTER CHAT MASALA100GM,6
MASTER MANTHI MASALA 50GM12.00,35
MASTER BAKING SODA 50G,12
MASTER COCOA POWDER 50G,6
MASTER CORN FLOUR 100G,24
MASTER PLAIN CHNA GRASS 10G6.00,30
FUL FUL OREGANO 20GM,6
MASTER CUSTARD POWDER 100GM12.00,27
MASTER DARK COCOA POWDER 50GM6.00,75
MALLY 1KG,40
MULAKU 1KG,41
SUGAR 5KG,20
SUGAR 500 GM,20
SUGAR 250G,20
SUGAR 2KG,100
SUGAR 3KG,33
SUGAR 1KG,186
GREEN PEASE 1KG,30
GREENPEASE 250G,40
CHERUPAYAR 500GM,30
CHERUPAYAR 250GM,20
KADALA 1/2KG,30
JAYA LALITHA RICE,250
DOUBLE ROSE RICE,500
PARIP 500GM,60
MUTHIRA 1/2KG,80
KADALA 1KG,25
K GOLD RICE,500
PONI 555RICE,100
RICE PHR II,100
SANGU RICE,400
PARIP 250GM,40
PAYAR 1KG,75
PAYAR 500GM,100
UZHUNNU 1KG,50
GREEN PEASE 500GM,40
CHERUPAYAR 1KG,10
KADALA 250G,40
IDLY RICE PONNI,50
PARIP 1KG,60
UZHUNNU 1/2KG,80
PAVIZHAM RICBRAN OIL 1LTR POCH10.00,164
PAVIZHAM WHAITE KURUVA,50
PAVIZHAM VADI MATTA RICE,26
CHOLAM POPCORN,30
BUSH LEMON YELLOW POWDER PKT100GM3.00,48
DALDA VANASPATI(200ML),25
DALDA VANASPATI(100ML),50
LAYS GREEN RS20,50
LAYS ORANGE SWEET CHILLI 78GM40.00,17
LAYS RED TOMATO78GM,36
LAYS GREEN AMERICAN STYLE 115GM5.00,41
LAYS INDIAS MAGIC MASALA 80GM 485.00,41
KURKURE MASALA MUNCH 85GM10.00,17
LAYS SPANISH TOMATO TANGO RS2045.00,17
LAYS INDIA MAGIC MASALA RS2045.00,17
LAYS ORANGE SWEET CHILLI 78GM36.00,26
LAYS CLASSIC SALTES73.7GM 3018.00,26
LAYS RED SPANISH,5
KURKURE CHILLI CHATKAS 90GM10.00,17
KURKURE GREEN CHUTNEY 90GM10.00,17
LAYS SIZZLIN HOT 50G 20,45
LAYS YELLOW 52GM,45
LAYS GREEN AMERICAN 78GM,36
LAYS BLUE MAGIC MASALA 78GM18.00,26
LAYS WESTINDIES HOT N SWEET CHILLI 82GM5.00,41
KURKURE RED TOMATO 90GM,10
KURKURE PUFFCORN YUMMY CHE 55G 2010.00,17
NANDHINI GOODLIFE TONED MILK 1 L24.00,61
NANDHINI GOODLIFE TONED MILK 500ML24.00,31
DELMONTE EGGLESS MAYONAS 200GM 753.00,66
CUTEE GLAZEON WP 4KG 199,30
WILLY WHYTE TOOTHASTE 200GM12.00,109
EAGER MASALA MIX 70G,50
EAST CRSHD CHILLY PDR100G,20
EAST TURMRC PWD 100GM,50
EAST CORIADR PDR 100G,40
SF AASHIRVAAD ATTA 2KG,15
SF AASHIRVAD ATTA SUPERIOR 1KG30.00,63
SF AASHIRVAAD ATTA 5KG,3
POPPINS 2 14.4 GM(50N),300
PARLE G 250GM 30,48
HIDE SEEK120GM GM CHOCO,72
PARLE KRACKJACK 56.7GM 9.56108.00,7
HIDE SEEK 200GM CHOCO,60
PARLE G HIDE&SEEK CHOCOLATE CHIP 412GM18.00,114
PARLE G 800GM(90)16N,16
PARLE 20 20 BUTTER 150 GM,50
PARLE KRACK JACK 200GM,40
PARLE HAPPY HAPPY MRP10,96
PARLE G 120GM(RS10),72
ELITE CHAKKI ATTA 1KG,100
DABUR HONEY 100GRM(65),12
DABUR HONEY 250 GRM(120),12
ODONIL AIRFRESH MYSTIC ROSE 48G(53)12.00,42
DABUR HONEY 50GRM(40),12
DABUR HONEY BUYGET1 FREE 225GM 21012.00,209
ODONIL AIRFRESH ORCHIED DEW 48G(53)12.00,42
ODONIL AIRFREES LAVENDER 48G (53)12.00,42
PAVITHRAM TAMARIND 500GM20.00,76
PAVITHRAM SESAME OIL 1LTR,12
PAVITHRAM SESAME OIL 500ML24.00,96
PAVITHRAM TAMARIND 200G 3740.00,32
THADI SARASAPARILLA NANNARI SYRUP 750ML12.00,96
BODHINI ROASTED RAVA 1KG,30
BODHINI ROASTED RAVA .500GM40.00,30
DEVON MUSTARD 100GM,50
DEVON CUMIN SEED 100GM,50
DEVON FENUGREEK (ULUVA) 100GM100.00,10
DEVON FENUGREEK 250GM,80
KPL COCUNUT OIL 500 GM,30
EMMAS ROASTED RICE POWDER 5KG 99024.00,194
I FLO CRYSTAL,250
PARRY AMRIT JAGGERY POWDER 1/2KG5.00,51
KERALAGLOD COCONUT OIL1L20.00,249
BINGO MAD ANG ACHAARI MASTI 60GM8.00,16
BINGO BANGIN BUTTER&GARLIC 22GM 1012.00,8
BINGO CHIPS HNS KOREAN 44.8GM 208.00,16
BINGO KILLIN CREAM&ONION 22GM12.00,8
BINGO ORI STY CREAM&ONION 43GM 208.00,16
BINGO THRILLING TOMATO CHIPS 48GM8.00,16
BINGO MASALA MASSACRE CHIPS 23.5GM12.00,8
BINGO CHILLI SPRINKLED ORIGINAL 22GM12.00,8
BINGO MAD ANG TOMATO MAD 66G8.00,16
BINGO TEDHE MED XTRAA TEEKHA 75GM 208.00,16
BINGO XXXHOT&SPICY 28GM 1012.00,8
BINGO CHILLI SPRINKLED ORIGINAL 52GM6.00,16
BINGO SALT SPRINKLED 52GM,6
BINGO ORIGI STY HOT&SPICY KOREAN 21GM 1012.00,8
BINGO CHIPS HNS KOREAN STYLE 22GM 1012.00,8
BINGO THRILLING TOMATO CHIPS(22G) 1012.00,8
BINGO MASALA MASSACRE 48GM 206.00,16
